Parcel_No,Draw_Acres,Deed_Acres,Realkey,Ownkey,house_no,street_nam,full_add,curr_val,valchgdate,qPub_Link
015 079A,2.11512,2,6232,13516,905,HERMANS ROAD,905 HERMANS ROAD,18726,10/29/2014,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+079A
015 080,160.572,160.88,1224,16123,0,,0,203843,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+080
015 080A,9.91658,10,6556,15104,0,,0,12100,2/3/2012,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+080A
015 080B,19.8689,20,6557,15105,0,,0,25300,12/6/2011,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+080B
015 080C,10.7578,10.18,6592,15213,0,,0,13438,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+080C
015 081,1.91768,1.75,1225,7113,553,PERKINS ROAD,553 PERKINS ROAD,56681,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+081
015 083,6.1156,5.6,1227,7115,561,PERKINS ROAD,561 PERKINS ROAD,60432,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+083
015 085,2.08552,1.97,1229,7117,583,PERKINS ROAD,583 PERKINS ROAD,69834,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+085
015 086,8.27619,8.34,1230,8898,593,PERKINS ROAD,593 PERKINS ROAD,21078,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+086
015 089,8.83014,8.68,1231,7119,623,PERKINS ROAD,623 PERKINS ROAD,115960,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+089
015 091,4.60862,3.93,1232,14174,636,PERKINS ROAD,636 PERKINS ROAD,91428,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+091
015 093,6.95796,6.58,1234,7121,616,PERKINS ROAD,616 PERKINS ROAD,308796,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+093
015 094,2.42217,2,1235,7123,612,PERKINS ROAD,612 PERKINS ROAD,19850,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+094
015 095,7.09092,7.74,1236,7124,606,PERKINS ROAD,606 PERKINS ROAD,40153,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+095
015 096,1.34885,0,1237,7125,594,PERKINS ROAD,594 PERKINS ROAD,100,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+096
015 097,2.85131,3,1238,7126,0,PERKINS ROAD,0 PERKINS ROAD,990,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+097
015 098,2.01209,2.3,1239,7127,588,PERKINS ROAD,588 PERKINS ROAD,13908,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+098
015 099,2.18621,1.6,1240,7128,584,PERKINS ROAD,584 PERKINS ROAD,63806,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+099
015 100,2.9418,3.41,1241,7129,576,PERKINS ROAD,576 PERKINS ROAD,56946,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+100
015 101,4.00333,3.46,1242,7130,0,PERKINS ROAD,0 PERKINS ROAD,14583,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+101
015 102,3.44416,3.47,5231,11116,562,PERKINS ROAD,562 PERKINS ROAD,39157,10/29/2014,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+102
015 103,4.59476,3.53,5232,11117,556,PERKINS ROAD,556 PERKINS ROAD,45203,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+103
015 104,2.19806,1.93,1243,7130,550,PERKINS ROAD,550 PERKINS ROAD,32002,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+104
015 105,1.91884,4.18,1244,7130,538,PERKINS ROAD,538 PERKINS ROAD,10416,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+105
015 105A,1.71552,2.41,6233,13517,538,PERKINS ROAD,538 PERKINS ROAD,22642,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+105A
015 106,2.406,2.5,1245,7133,534,PERKINS ROAD,534 PERKINS ROAD,36687,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+106
015 107,8.68767,5,1246,15140,524,BLUE BIRD LANE,524 BLUE BIRD LANE,81232,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+107
015 108,5.25242,4,1247,7135,524,PERKINS ROAD,524 PERKINS ROAD,27102,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+108
015 109,17.0234,15.53,1248,7136,506,PERKINS ROAD,506 PERKINS ROAD,95361,5/26/2015,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+109
015 110,0.712409,0.77,1249,7137,502,PERKINS ROAD,502 PERKINS ROAD,5487,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+110
015 111,0.431838,0.45,1250,14759,496,PERKINS ROAD,496 PERKINS ROAD,4577,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+111
015 113,8.01709,6.55,1252,7140,0,PERKINS ROAD,0 PERKINS ROAD,36806,6/28/2013,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+113
015 114,4.69746,4.1,1253,7141,490,PERKINS ROAD,490 PERKINS ROAD,28579,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+114
015 116,4.20047,4,1254,7142,484,PERKINS ROAD,484 PERKINS ROAD,32704,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+116
015 117,3.79359,4,1255,7143,0,PERKINS ROAD,0 PERKINS ROAD,24224,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+117
015 118,3.87824,4,1256,7144,478,PERKINS ROAD,478 PERKINS ROAD,59042,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+118
015 119,3.91793,3,1257,7145,446,PERKINS ROAD,446 PERKINS ROAD,8570,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+119
015 120,3.08365,3.6,1258,7146,0,,0,7405,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+120
015 121,0.342072,0.4,1259,16390,464,PERKINS ROAD,464 PERKINS ROAD,3443,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+121
015 122,0.764253,1,1260,7148,466,PERKINS ROAD,466 PERKINS ROAD,14170,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+122
015 123,1.90729,1.5,1261,7148,0,PERKINS ROAD,0 PERKINS ROAD,2599,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+123
015 124,1.04594,1.35,1262,14719,462,PERKINS ROAD,462 PERKINS ROAD,24086,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+124
015 125,5.72538,9.82,1263,7151,452,PERKINS ROAD,452 PERKINS ROAD,57059,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+125
015 125A,3.47292,2.75,1264,7152,0,PERKINS ROAD,0 PERKINS ROAD,3328,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+125A
015 126,67.2396,68.48,1265,7153,0,PERKINS ROAD,0 PERKINS ROAD,158973,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+126
015 127,1.02594,1,1266,7154,0,PERKINS ROAD,0 PERKINS ROAD,1600,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+127
015 128,11.3303,11.26,1267,7155,286,PERKINS ROAD,286 PERKINS ROAD,230517,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+128
015 129,3.8887,2.47,1268,7156,0,PERKINS ROAD,0 PERKINS ROAD,4147,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+129
015 130,2.63261,2.71,1269,16530,267,PERKINS ROAD,267 PERKINS ROAD,147573,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+130
015 131,55.5172,57.54,1270,14735,0,MULKEY ROAD,0 MULKEY ROAD,75073,6/20/2012,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+131
015 132,0.942917,1.43,1271,7159,0,,0,2334,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+132
015 133,0.866274,0.97,1272,7160,431,PERKINS ROAD,431 PERKINS ROAD,28906,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+133
015 134,18.5723,17,1273,7161,437,PERKINS ROAD,437 PERKINS ROAD,47424,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+134
015 135,7.97665,8,1274,15310,0,,0,19328,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+135
015 136,11.8301,10,1275,7163,475,PERKINS ROAD,475 PERKINS ROAD,63534,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+136
015 137,3.58083,3.6,1276,7164,491,PERKINS ROAD,491 PERKINS ROAD,24700,7/8/2003,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+137
015 138,1.8094,2.53,1277,7165,0,PERKINS ROAD,0 PERKINS ROAD,5353,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+138
015 139,1.52556,1.42,1278,7166,0,PERKINS ROAD,0 PERKINS ROAD,3091,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+139
015 140,1.90699,1.92,1279,7167,0,PERKINS ROAD,0 PERKINS ROAD,4127,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+140
015 141,10.8426,11.3,1280,7168,0,PERKINS ROAD,0 PERKINS ROAD,15844,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+141
015 142,3.67634,2.6,1281,7169,547,PERKINS ROAD,547 PERKINS ROAD,14382,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+142
015 143,10.2147,10.21,1282,7170,0,,0,11789,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+143
015 145,8.83779,8.49,1283,7171,0,HWY 25 NORTH,0 HWY 25 NORTH,23850,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+145
015 148,29.1792,27.96,1285,7173,0,HWY 25 NORTH,0 HWY 25 NORTH,98251,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+148
015 150,10.7254,12.27,1287,7175,1664,HWY 25 NORTH,1664 HWY 25 NORTH,62303,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+150
015 154,9.63585,8.48,1291,7970,1648,HWY 25 NORTH,1648 HWY 25 NORTH,13301,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+154
015 155,0.404093,0.65,1292,7970,0,HWY 25 NORTH,0 HWY 25 NORTH,1758,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+155
015 157,1.72364,1.27,1294,14850,1639,HWY 25 NORTH,1639 HWY 25 NORTH,85867,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+157
015 158,1.20898,1.3,1295,7183,1647,HWY 25 NORTH,1647 HWY 25 NORTH,28699,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+158
015 159,4.82613,4.89,1296,15762,1649,HWY 25 NORTH,1649 HWY 25 NORTH,41559,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+159
015 160,169.399,172.54,1297,7185,0,HWY 25 NORTH,0 HWY 25 NORTH,242245,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+160
015 160A,2.43487,2,6234,13518,1657,HWY 25 NORTH,1657 HWY 25 NORTH,74213,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+160A
015 160B,3.24213,2.95,6235,13519,1679,HWY 25 NORTH,1679 HWY 25 NORTH,121515,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+160B
015 161,1.07805,1,1298,7186,1677,HWY 25 NORTH,1677 HWY 25 NORTH,74566,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+161
015 162,1.75001,1.8,1299,7186,0,HWY 25 NORTH,0 HWY 25 NORTH,3881,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+162
015 163,3.41222,3.82,1300,7188,615,PARRISH BURKE ROAD,615 PARRISH BURKE ROAD,20536,10/5/2012,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+163
015 165,10.3875,11.02,1302,7190,0,PARRISH BURKE ROAD,0 PARRISH BURKE ROAD,38363,10/29/2014,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+165
015 166,10.7993,11.98,1303,7191,0,PARRISH BURKE ROAD,0 PARRISH BURKE ROAD,47644,10/29/2014,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+166
015 169,0.783273,0.8,1304,7192,0,PARRISH BURKE ROAD,0 PARRISH BURKE ROAD,13234,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+169
015 170,0.780017,0.94,1305,7193,0,HWY 25 NORTH,0 HWY 25 NORTH,105406,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+170
015 171,0.538649,0.68,1306,7194,1713,HWY 25 NORTH,1713 HWY 25 NORTH,43800,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+171
015 172,0.511717,0.46,1307,7195,1717,HWY 25 NORTH,1717 HWY 25 NORTH,33728,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+172
015 173,4.60114,4.49,1308,9946,0,PARRISH BURKE ROAD,0 PARRISH BURKE ROAD,5606,8/19/2015,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+173
015 174,0.860687,1,1309,7197,0,W OF HWY 25,0 W OF HWY 25,9684,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+174
015 175,0.854285,1,1310,7198,0,PARRISH BURKE ROAD,0 PARRISH BURKE ROAD,12869,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+175
015 176,202.699,206.3,1311,7199,0,HWY 25 NORTH,0 HWY 25 NORTH,382419,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+176
015 177,66.4632,72.6,1312,15948,0,CHARLIE JONES ROAD,0 CHARLIE JONES ROAD,92026,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+177
015 178,70.4391,70.12,1313,7201,554,CHARLIE JONES ROAD,554 CHARLIE JONES ROAD,107985,6/5/2013,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+178
015 178A,9.98897,10,6189,13211,554,CHARLIE JONES ROAD,554 CHARLIE JONES ROAD,214522,7/14/2014,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+178A
015 179,104.038,103.6,1314,15545,492,CHARLIE JONES ROAD,492 CHARLIE JONES ROAD,318189,10/29/2014,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+179
015 179A,5.00035,5,6625,15546,490,CHARLIE JONES ROAD,490 CHARLIE JONES ROAD,99301,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+179A
015 180,272.786,266.99,1315,14884,482,CHARLIE JONES ROAD,482 CHARLIE JONES ROAD,365971,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+180
015 180A,8.23143,8.64,6190,13212,0,CHARLIE JONES ROAD,0 CHARLIE JONES ROAD,21859,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+180A
015 180B,14.8899,14.59,6280,7207,0,CHARLIE JONES ROAD,0 CHARLIE JONES ROAD,17508,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+180B
015 182,2.77681,2.94,1316,7204,414,CHARLIE JONES ROAD,414 CHARLIE JONES ROAD,58175,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+182
015 184,84.666,84.18,1317,7205,0,CHARLIE JONES ROAD,0 CHARLIE JONES ROAD,156879,8/7/2007,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+184
015 186,39.8029,38.64,1318,16043,392,OLD LOUISVILLE ROAD,392 OLD LOUISVILLE ROAD,234061,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+186
015 187,229.395,225.49,1319,7207,338,LOUISVILLE ROAD,338 LOUISVILLE ROAD,481278,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+187
015 187A,4.88819,5,6236,13520,362,OLD LOUISVILLE ROAD,362 OLD LOUISVILLE ROAD,123280,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+187A
015 187B,4.13492,4.52,6313,7207,0,,0,269748,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+187B
015 188,211.478,222.95,1320,13780,0,,0,298654,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+188
015 189,203.742,196.84,1321,13780,0,,0,246300,12/30/1999,http://qpublic7.qpublic.net/ga_display.php?county=ga_jenkins&KEY=015+189
