realkey,ownkey,house_no,extension,stdirect,sttype,street_nam,unit,landlot,landdist,landgmd,zoningcode,return_val,assess_rsn,parcel_no,legal_desc,val_chg,prev_val,curr_val,valchgdate,land_type,taxdistric,homeexempt,cuv_renew,orighomval,currhomval,reviewdate,datenow,appraiser,pcy,ccy,hcy,ovrideval,influence1,influence2,influence3,influence4,influence5,influence6,influence7,infltype1,infltype2,infltype3,infltype4,infltype5,infltype6,infltype7,digclass,digstrat,topography,water,sewer,gas,electricty,roadstreet,roadclass,distdrain,nbrstatus,zoning,acc,desire,a_value,p_value,woodacres,totalacres,vendno,histval,fuserid,neighbhood,newownrflg,splitsflg,homedate,spdist,realgrowth,inflgrowth,acctstatus,histyr1,histval1,histyr2,histval2,histyr3,histval3,lat,lon,apprname,alternate,land_appr,ovrdate,ovr_rsn,a_calc,p_calc,ezy,ez_exempt,quad,income,exists,subd_name,subd_lot,subd_blk,subd_sec,subd_phse,io_name,io_date,ovr_acres,parcel_no2,boe_year,boe_value,createdate,zip,statehsval,flcy,fl08val,flbaseval,fl08acres,flappnum,fl08perac,mavorig,mavcurr,mavag,mavpref,mavprev,mavovr,fmvres,fmvcom,fmvacc,mavres,mavcom,mavacc,sale_val,saleland1,saleland2,saleimpcs1,saleimp1,saleimpcs2,saleimp2,returnmail,orighsval2,currhsval2,covhs,covparent,covrealkey,siteaddid,unittype
12,12767,0,,,,,,,,,,0,RA,U19 OP 002,"UNINC/181, 750",-1,344760,380660,2/3/2014,0,02,S0,0,0,0,3/6/2007,2/3/2014,lisa,,,,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,001,002,003,004,005,006,012,U,2,001,001,001,001,001,001,001,001,001,001,0,,0,0,0.00,0.00,,0,,,0,0,18991230,0,0,0,-1,2012,288640,2011,245360,2010,450360,,,LISA HODGES,,CASEY WARREN,18991230,,0,0,,0,,0,0,,,,,,,18991230,0.00,U19    001,0,0,18991230,,0,,443580,443580,0.00,,0.00,0,0,0,0,0,0,0,0,380660,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,,
13,17929,0,,,,,,,,,,0,RA,U20 OP 001,"INC/794,840",-1,786114,799281,2/3/2014,0,01,S0,0,0,0,5/30/2007,2/3/2014,lisa,,,,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,001,002,003,004,005,006,012,U,2,001,001,001,001,001,001,004,003,002,004,0,,0,0,0.00,0.00,,0,,,0,0,18991230,0,0,0,-1,2012,758443,2011,734873,2010,717974,,,LISA HODGES,,CASEY WARREN,18991230,,0,0,,0,,0,0,,,,,,,18991230,0.00,U20    001 CRN,0,0,18991230,,0,,722700,722700,0.00,,0.00,0,0,0,0,0,0,0,0,799281,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,,
14,17929,0,,,,,,,,,,0,RA,U20 OP 002,"UNINC/4,005,286",-1,4114674,4128858,2/3/2014,0,02,S0,0,0,0,5/30/2007,2/3/2014,lisa,,,,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,001,002,003,004,005,006,012,U,2,001,001,001,001,001,001,001,001,001,001,0,,0,0,0.00,0.00,,0,,,0,0,18991230,0,0,0,-1,2012,3951469,2011,3791376,2010,3713463,,,LISA HODGES,,CASEY WARREN,18991230,,0,0,,0,,0,0,,,,,,,18991230,0.00,U21    001,0,0,18991230,,0,,3747299,3747299,0.00,,0.00,0,0,0,0,0,0,0,0,4128858,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,,
15,17929,0,,,,,,,,,,0,,A09    037 PU,103 & 105 W RAILROAD AVE (NOP),0,25260,25260,18991230,1,01,S0,0,0,0,3/6/2007,2/3/2014,lisa,,,,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,001,002,003,004,005,006,012,U,4,001,001,001,001,001,001,001,001,001,001,2,C,25260,0,0.00,1.24,,0,,,0,0,18991230,0,0,0,-1,2012,25260,2011,25260,2010,25260,,,LISA HODGES,,LISA HODGES,18991230,,0,0,,0,,0,0,,,,,,,18991230,0.00,A09    037,0,0,18991230,,0,,25260,25260,1.24,,20370.97,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,,
16,17929,0,,,,,,,,,,0,,U20    003 CRN,INC / .10 AC / 200 CORR VALUE,0,200,200,18991230,3,01,S0,0,0,0,3/6/2007,2/3/2014,lisa,,,,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,001,002,003,004,005,006,012,U,4,001,001,001,001,001,001,004,003,002,004,1,A,200,0,0.00,0.10,,0,,,0,0,18991230,0,0,0,-1,2012,200,2011,200,2010,200,,,CASEY WARREN,,LARRY GRIGGERS,18991230,,0,0,,0,,0,0,,,,,,,18991230,0.00,A13    157,0,0,18991230,,0,,200,200,0.10,,2000.00,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,,
17,17929,0,,,,,,,,,,0,,A09    038 PU,UNINC/750   2.23 AC  (NOP),0,750,750,18991230,1,02,S0,0,0,0,3/6/2007,2/3/2014,lisa,,,,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,001,002,003,004,005,006,012,U,4,001,001,001,001,001,001,004,003,002,004,2,C,750,0,0.00,2.23,,0,,,0,0,18991230,0,0,0,-1,2012,750,2011,750,2010,750,,,LISA HODGES,,LISA HODGES,18991230,,0,0,,0,,0,0,,,,,,,18991230,0.00,U21    002,0,0,18991230,,0,,750,750,2.23,,336.32,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,,
18,23844,180,,,ST,ELEVENTH,,,,,,0,NO,A18    099,180 ELEVENTH ST,0,93010,93010,18991230,1,02,S0,0,0,0,11/29/2007,1/10/2014,sue,,,,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,001,002,003,004,005,006,012,R,3,001,001,001,001,001,001,001,001,001,001,2,C,6000,0,0.00,0.32,,0,,,0,0,18991230,0,0,0,-1,2012,93010,2011,93010,2010,99600,,,"MARC BOHN, AVTACS",,"MARC BOHN, AVTACS",18991230,,0,0,,0,,0,0,,,,,,,18991230,0.00,C27    045,0,0,18991230,,0,,6000,6000,0.32,,18750.00,0,0,0,0,0,0,87010,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,,
21,12776,208,,,RD,ABNEY,,60,22,,,0,,B55    015,,0,316026,316026,18991230,3,02,S1,0,0,0,9/19/2007,8/8/2011,casey,,2005,,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,001,002,003,004,005,006,012,V,5,001,001,001,001,001,003,004,002,002,004,1,C,0,131301,5.00,36.74,,0,,,0,0,1/13/2006,0,0,0,-1,2012,316026,2011,316026,2010,328577,,,"MARC BOHN, AVTACS",,LARRY GRIGGERS,18991230,,0,0,,0,,0,0,,,,,,,18991230,0.00,M37    029,0,0,18991230,,0,,134657,134657,36.74,,3665.13,0,0,0,0,0,0,164050,0,20675,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,,
23,22064,178,,,RD,TRAIL BRANCH CHURCH,,82,22,,,0,,B64    032,178 TRAIL BRANCH CHURCH RD--,0,13808,13808,5/6/2011,1,02,S0,0,0,0,11/5/2007,1/1/2008,chrish,,,,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,001,002,003,004,005,006,012,R,3,001,002,002,001,002,003,004,003,002,001,3,C,10512,0,0.00,2.19,,0,,,0,0,1/1/1999,0,0,0,-1,2012,13808,2011,13808,2010,14412,,,CHRIS KIGHT - AVTACS,,CHRIS KIGHT - AVTACS,18991230,,0,0,,0,,0,0,,,,,,,18991230,0.00,M44    011,0,0,18991230,,0,,10512,10512,2.19,,4800.00,0,0,0,0,0,0,0,0,3296,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,,
24,12779,166,,,RD,FAULK,,,,,,0,,B37    064,166 FAULK RD,0,84833,84833,18991230,3,02,S4,0,0,0,12/10/2007,9/12/2013,sue,,,,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,001,002,003,004,005,006,012,R,4,001,001,001,001,001,001,001,001,001,001,1,D,31376,0,0.00,10.11,,0,,,0,0,2/9/2004,0,0,0,-1,2012,84833,2011,84833,2010,92423,,,"CLEGG BAZEMORE, AVTACS",,LARRY GRIGGERS,18991230,,0,0,,0,,0,0,,,,,,,18991230,0.00,M20C   056,0,0,18991230,,81892,,33957,33957,10.11,,3358.75,0,0,0,0,0,0,48461,0,4996,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,,
26,12781,113,,,RD,ABNEY,,60,22,,,0,,B56    097,113 ABNEY RD,0,296735,296735,5/6/2011,3,02,S0,0,0,0,9/19/2007,5/3/2011,larry,,,,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,001,002,003,004,005,006,012,A,5,001,001,001,001,001,001,001,001,001,001,1,B,249006,0,67.41,86.31,,0,,,0,0,18991230,0,0,0,-1,2012,296735,2011,283633,2010,291942,,,"MARC BOHN, AVTACS",,LARRY GRIGGERS,18991230,,0,0,,0,,0,0,,,,,,,18991230,0.00,M42    005,0,0,18991230,,0,,235904,235904,86.31,,2733.22,0,0,0,0,0,0,44333,0,3396,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,,
27,12782,182,,,RD,VERNON,,142,21,,,0,,A17    103,182 VERNON RD,0,7700,7700,18991230,1,02,S0,0,0,0,1/7/2008,10/8/2008,sue,,,,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,001,002,003,004,005,006,012,R,3,001,001,001,001,001,001,001,001,001,001,2,C,6000,0,0.00,0.50,,0,,,0,0,8/2/2002,0,0,0,-1,2012,7700,2011,7700,2010,7700,,,"CLEGG BAZEMORE, AVTACS",CASEY WARREN,"CLEGG BAZEMORE, AVTACS",18991230,,0,0,,0,,0,0,,,,,,,18991230,0.00,C27    405,0,0,18991230,,0,,6000,6000,0.50,,12000.00,0,0,0,0,0,0,0,0,1700,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,,
28,12783,756,,,,GA HWY 126,,,,,,0,,B50    184,756 HWY 126,0,75771,75771,5/6/2011,1,02,S1,0,0,0,11/7/2007,4/26/2010,sue,,,,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,001,002,003,004,005,006,012,R,3,001,001,001,001,001,001,001,001,001,001,3,C,6000,0,0.00,1.00,,0,,,0,0,18991230,0,0,0,-1,2012,75771,2011,75771,2010,81376,,,"CLEGG BAZEMORE, AVTACS",,"CLEGG BAZEMORE, AVTACS",18991230,,0,0,,0,,0,0,,,,,,,18991230,0.00,M27    094,0,0,18991230,,0,,6000,6000,1.00,,6000.00,0,0,0,0,0,0,50115,0,19656,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,,
29,12784,0,,,,GA HWY 112,,85,21,,,0,,B56    015,LL84 & 85-24LD,0,310673,310673,1/29/2013,3,02,S0,0,0,0,7/25/2007,1/29/2013,casey,,,,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,001,002,003,004,005,006,012,A,5,001,001,001,001,001,001,001,001,001,001,1,C,310673,0,42.22,134.13,,0,,,0,0,18991230,0,0,0,-1,2012,319370,2011,292949,2010,301538,,,"DEBBIE GRIGGERS, AVTACS",,LARRY GRIGGERS,18991230,,0,0,,0,,0,0,,,,,,,18991230,0.00,M36    053,0,0,18991230,,0,,313238,302545,147.06,,2130.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,,
30,12785,0,,,,ER 240,,60,22,,,0,,B56    104,,0,14301,14301,12/15/2008,1,02,S0,0,0,0,9/19/2007,12/15/2008,casey,,,,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,001,002,003,004,005,006,012,E,2,001,001,001,001,001,001,001,001,001,001,1,C,14300,0,0.00,1.43,,0,,,0,0,8/14/1998,0,0,0,-1,2012,14301,2011,14301,2010,14301,,,"MARC BOHN, AVTACS",,"MARC BOHN, AVTACS",18991230,,0,0,,0,,0,0,,,,,,,18991230,0.00,M37    021,0,0,18991230,,0,,4200,14300,0.42,,10000.00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,,
31,22349,1361,,,,GA HWY 112,,,,,,0,,B56    039,,0,6600,6600,18991230,1,02,S0,0,0,0,9/19/2007,10/23/2012,casey,,,,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,001,002,003,004,005,006,012,R,3,001,001,001,001,001,001,001,001,001,001,1,C,6600,0,0.00,1.10,,0,,,0,0,8/18/1998,0,0,0,-1,2012,6600,2011,6600,2010,6600,,,"MARC BOHN, AVTACS",,"MARC BOHN, AVTACS",18991230,,0,0,,0,,0,0,,,,,,,18991230,0.00,M41    018,0,0,18991230,,0,,6600,6600,1.10,,6000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,,
32,12787,1361,,,,GA HWY 112,,,,,,0,,B56    019,1361 HWY 112,0,135713,135713,18991230,3,02,S4,0,0,0,9/19/2007,9/12/2013,sue,,2009,,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,001,002,003,004,005,006,012,V,4,001,001,001,001,001,001,001,001,001,001,1,C,0,42179,0.00,13.00,,0,,,0,0,1/1/2002,0,0,0,-1,2012,135713,2011,135713,2010,145958,,,"MARC BOHN, AVTACS",,LARRY GRIGGERS,18991230,,0,0,,0,,0,0,,,,,,,18991230,0.00,M36    059,0,0,18991230,,98355,,43905,43905,13.00,,3377.31,0,0,0,0,0,0,89838,0,3696,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,,
33,12788,262,,,RD,DAISY ADAMS,,98,21,,,0,,B39    029,262 DAISY ADAMS RD,0,53559,53559,5/6/2011,1,02,S0,0,0,0,11/30/2007,8/8/2008,larry,,,,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,001,002,003,004,005,006,012,R,3,001,002,002,001,002,003,004,003,002,004,3,C,6840,0,0.00,0.95,,0,,,0,0,6/4/1998,0,0,0,-1,2012,53559,2011,53559,2010,59326,,,"CLEGG BAZEMORE, AVTACS",,"CLEGG BAZEMORE, AVTACS",18991230,,0,0,,0,,0,0,,,,,,,18991230,0.00,M26A   018,0,0,18991230,,0,,6840,6840,0.95,,7200.00,0,0,0,0,0,0,40800,0,5919,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,,
34,23773,244,,,RD,HUDSON JONES,,103,21,,,0,NO,B28    046,244 HUDSON JONES RD,0,39247,39247,18991230,3,02,S0,0,0,0,8/24/2007,11/26/2013,sue,,,,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,001,002,003,004,005,006,012,R,4,001,001,001,001,001,001,001,001,001,001,1,C,6686,0,0.00,1.00,,0,,,0,0,1/1/1999,0,0,0,-1,2012,39247,2011,39247,2010,43440,,,"MARC BOHN, AVTACS",,LARRY GRIGGERS,18991230,,0,0,,0,,0,0,,,,,,,18991230,0.00,M25    050,0,0,18991230,,0,,7260,7260,1.00,,7260.00,0,0,0,0,0,0,29865,0,2696,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,,
35,12790,0,,,RD,HUDSON JONES,,,,,,0,,B41    043,,0,207701,207701,18991230,3,02,S0,0,0,0,8/30/2007,8/8/2011,casey,,2010,,0,1.00,0.95,1.00,1.00,1.00,1.00,0.85,001,002,003,004,005,006,009,V,5,001,001,001,001,001,001,001,001,001,001,1,C,0,207701,36.00,100.45,,0,,,0,0,8/11/1998,0,0,0,-1,2012,207701,2011,207701,2010,220218,,,"MARC BOHN, AVTACS",,LARRY GRIGGERS,18991230,,0,0,,0,,0,0,,,,,,,18991230,0.00,M31    030A,0,0,18991230,,0,,220218,220218,100.45,,2192.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,,
36,12791,713,,N,,GA HWY 87,,,,,,0,,B28    078,713 HWY 87 NORTH,0,391552,391552,18991230,3,02,S0,0,0,0,8/27/2007,8/8/2011,casey,,2009,,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,001,002,003,004,005,006,012,V,5,001,001,001,001,001,001,001,001,001,001,2,C,0,349007,101.10,182.10,,0,,,0,0,6/10/2005,0,0,0,-1,2012,391552,2011,357234,2010,364398,,,"MARC BOHN, AVTACS",,LARRY GRIGGERS,18991230,,0,0,,0,,0,0,,,,,,,18991230,0.00,M18    024,0,0,18991230,,0,,314689,314689,182.10,,1728.11,0,0,0,0,0,0,39949,0,2596,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,,
37,12792,767,,N,,GA HWY 87,,,,,,0,,B28    072,767 HWY 87 NORTH,0,92090,92090,5/6/2011,1,02,S4,0,0,0,8/27/2007,4/23/2010,sue,,,,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,001,002,003,004,005,006,012,R,4,001,001,001,001,001,001,001,001,001,001,2,B,25384,0,0.00,8.91,,0,,,0,0,3/11/2009,0,0,0,-1,2012,92090,2011,92090,2010,98824,,,"MARC BOHN, AVTACS",,"MARC BOHN, AVTACS",18991230,,0,0,,0,,0,0,,,,,,,18991230,0.00,M18    021,0,0,18991230,,90590,,25384,25384,8.91,,2848.93,0,0,0,0,0,0,62810,0,3896,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,,
38,12793,122,,,RD,ABNEY,,,,,,0,,B56    007,122 ABNEY RD,0,78211,78211,5/6/2011,1,02,S1,0,0,0,9/19/2007,4/27/2010,sue,,,,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,001,002,003,004,005,006,012,R,3,001,001,001,001,001,001,004,003,002,001,1,C,8400,0,0.00,1.40,,0,,,0,0,11/14/2008,0,0,0,-1,2012,78211,2011,78211,2010,87190,,,"MARC BOHN, AVTACS",,"MARC BOHN, AVTACS",18991230,,0,0,,0,,0,0,,,,,,,18991230,0.00,M37    018,0,0,18991230,,0,,8400,8400,1.40,,6000.00,0,0,0,0,0,0,63140,0,6671,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,,
39,21854,686,,S,,GA HWY 87,,153,21,,,0,,B49    032,686 HWY 87 S-SANDHILL GRO/PAST&PRESENT TREASU,0,266525,266525,5/7/2011,1,02,S0,0,0,0,12/8/2007,5/7/2011,larry,,,,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,001,002,003,004,005,006,012,C,3,001,001,001,001,001,001,001,001,001,001,1,B,44560,0,0.00,1.19,,0,,,0,0,18991230,0,0,0,-1,2012,266525,2011,266525,2010,280618,,,"CLEGG BAZEMORE, AVTACS",,"CLEGG BAZEMORE, AVTACS",18991230,,0,0,,0,,0,0,,,,,,,18991230,0.00,M21A   072,0,0,18991230,,0,,44560,44560,1.19,,37445.38,0,0,0,0,0,0,0,214985,6980,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,,
